Date, Open, High, Low, Close, Total Volume, UnAdjusted Close
19840102,775.70000000,775.70000000,775.70000000,775.70000000,       0,775.70000000
19840103,771.80000000,771.80000000,771.80000000,771.80000000,       0,771.80000000
19840104,770.30000000,770.30000000,770.30000000,770.30000000,       0,770.30000000
19840105,783.60000000,783.60000000,783.60000000,783.60000000,       0,783.60000000
19840106,794.30000000,794.30000000,794.30000000,794.30000000,       0,794.30000000
19840109,800.00000000,800.00000000,800.00000000,800.00000000,       0,800.00000000
19840110,796.80000000,796.80000000,796.80000000,796.80000000,       0,796.80000000
19840111,790.00000000,790.00000000,790.00000000,790.00000000,       0,790.00000000
19840112,796.00000000,796.00000000,796.00000000,796.00000000,       0,796.00000000
19840113,808.10000000,808.10000000,808.10000000,808.10000000,       0,808.10000000
19840116,813.70000000,813.70000000,813.70000000,813.70000000,       0,813.70000000
19840117,807.10000000,807.10000000,807.10000000,807.10000000,       0,807.10000000
19840118,821.20000000,821.20000000,821.20000000,821.20000000,       0,821.20000000
19840119,823.90000000,823.90000000,823.90000000,823.90000000,       0,823.90000000
19840120,826.90000000,826.90000000,826.90000000,826.90000000,       0,826.90000000
19840123,814.90000000,814.90000000,814.90000000,814.90000000,       0,814.90000000
19840124,824.90000000,824.90000000,824.90000000,824.90000000,       0,824.90000000
19840125,840.50000000,840.50000000,840.50000000,840.50000000,       0,840.50000000
19840126,835.10000000,835.10000000,835.10000000,835.10000000,       0,835.10000000
19840127,839.50000000,839.50000000,839.50000000,839.50000000,       0,839.50000000
19840130,832.20000000,832.20000000,832.20000000,832.20000000,       0,832.20000000
19840131,831.40000000,831.40000000,831.40000000,831.40000000,       0,831.40000000
19840201,829.20000000,829.20000000,829.20000000,829.20000000,       0,829.20000000
19840202,824.10000000,824.10000000,824.10000000,824.10000000,       0,824.10000000
19840203,832.40000000,832.40000000,832.40000000,832.40000000,       0,832.40000000
19840206,815.50000000,815.50000000,815.50000000,815.50000000,       0,815.50000000
19840207,799.70000000,799.70000000,799.70000000,799.70000000,       0,799.70000000
